,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
92,SOAD13126,Navaldia,Yes,,,5.159,0.117,,,,0.01773,0.0,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.0779,37.4,797.4,
93,SOAD20522,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,15.395,0.073,0.0,1989.0,,0.00197,0.0,Uncontrolled,12/12/2021,5.0,9.51,Significant,Not Rated,19/12/2007,0.1375,28.9,162.5,
94,SOAD20772,Navaldia,Yes,Flood Risk Reduction,,8.209,0.083,,1934.0,,0.0,0.0,Uncontrolled,12/02/2020,5.0,,High,Fair,28/08/2020,0.074,37.9,914.9,
95,SOAD01504,Navaldia,Yes,,,3.262,0.173,,,,0.01576,,Uncontrolled,05/12/2019,5.0,,High,Fair,01/07/2019,0.087,26.0,594.1,
96,SOAD05174,Navaldia,Yes,Flood Risk Reduction,Earth,8.942,0.09,,,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0881,27.2,305.0,
97,SOAD06379,Navaldia,No,,Earth,7.121,0.024,,,,0.00591,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.111,23.1,392.8,
99,SOAD10640,Navaldia,Yes,Flood Risk Reduction,Earth,3.884,0.058,4140.0,2009.0,,0.00788,0.0,Uncontrolled,08/12/2021,5.0,,Significant,Fair,27/07/2022,0.1218,9.4,124.5,
101,SOAD11707,Navaldia,No,,Earth,5.459,0.039,,,,0.00788,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.1546,32.1,400.2,
104,SOAD15152,Flumevale,Yes,Flood Risk Reduction,Earth,11.071,0.095,21140.0,2005.0,,0.00788,0.0,Uncontrolled,17/09/2020,1.0,,High,Fair,17/09/2020,0.1114,43.7,816.2,
107,SOAD03129,Lyndrassia,Yes,,Earth,16.055,0.053,,1999.0,1999,0.00394,0.0,,02/11/2021,,,Significant,Satisfactory,19/12/2007,0.1143,37.2,379.4,
108,SOAD04965,Navaldia,No,,,4.496,0.07,,,,,,Uncontrolled,30/08/2022,,,Significant,Fair,10/04/2023,0.1312,127.5,319.7,
110,SOAD05893,Navaldia,Yes,Other,Earth,7.354,0.048,,,,0.00788,7.98987,,29/03/2017,2.0,,Significant,Not Rated,,0.167,17.2,74.7,
112,SOAD12488,Navaldia,No,Other,Earth,4.199,0.043,,,,0.00788,0.0,Uncontrolled,24/08/2009,,,Significant,Not Rated,24/08/2014,0.1619,44.7,473.7,
113,SOAD18907,Navaldia,Yes,Flood Risk Reduction,Earth,4.068,0.125,,1986.0,,,2.66329,,28/01/2021,1.0,,High,Satisfactory,,0.085,862.4,828.4,
114,SOAD00892,Navaldia,Yes,Flood Risk Reduction,Earth,4.974,0.147,,1993.0,,,2.66329,,27/07/2018,2.0,,Significant,Not Rated,,0.1355,310.9,31.4,
116,SOAD14530,Navaldia,Yes,Flood Risk Reduction,Earth,3.487,0.16,,1979.0,,,2.66329,,22/03/2019,2.0,,Significant,Fair,,0.1276,388.0,302.4,
120,SOAD16517,Lyndrassia,No,,Earth,10.489,0.027,0.0,,,0.00591,21.30632,,,0.0,0.0,Significant,Not Rated,,0.1392,39.4,287.2,
122,SOAD00226,Navaldia,Yes,Flood Risk Reduction,Earth,8.065,0.083,,1965.0,,0.00985,0.0,,19/10/2018,2.0,,Significant,Satisfactory,,0.122,18.4,339.5,
124,SOAD04969,Navaldia,Yes,,,3.854,0.073,,,,0.01773,,Uncontrolled,29/11/2022,2.0,,Significant,Unsatisfactory,10/04/2023,0.1767,14.6,169.9,
125,SOAD06606,Navaldia,Yes,Flood Risk Reduction,Earth,9.137,0.067,,,,,2.66329,,19/10/2018,2.0,,Significant,Satisfactory,,0.1135,217.4,441.6,
126,SOAD09548,Navaldia,Yes,,Concrete,4.184,0.03,,,,0.01773,2.66329,Uncontrolled,27/09/2021,5.0,,High,Satisfactory,17/03/2022,0.0648,39.9,900.3,
128,SOAD11393,Navaldia,Yes,Flood Risk Reduction,Earth,6.931,0.09,,1948.0,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0739,5.1,128.3,
129,SOAD16190,Lyndrassia,Yes,,Earth,19.243,0.053,,1970.0,2011,0.00394,0.0,Uncontrolled,24/06/2020,3.0,0.1,High,Satisfactory,27/08/2012,0.0811,26.7,137.0,
132,SOAD00463,Navaldia,Yes,Flood Risk Reduction,Earth,3.213,0.028,,,,,2.66329,,07/10/2016,2.0,,Significant,Fair,,0.1296,78.2,288.6,
133,SOAD01251,Navaldia,Yes,Flood Risk Reduction,Concrete,5.496,0.167,,1995.0,,0.0,0.0,Uncontrolled,19/10/2018,,,Significant,Fair,03/09/2019,0.1507,19.3,311.1,
134,SOAD01374,Navaldia,Yes,Flood Risk Reduction,Earth,3.889,0.117,,,2003H,,0.0,Uncontrolled,25/10/2017,2.0,,Significant,Fair,,0.1215,451.1,348.9,
137,SOAD06430,Navaldia,Yes,Other,,6.183,,,,,,0.0,,08/08/2018,2.0,,Significant,Not Rated,,0.1592,342.4,186.7,
138,SOAD08078,Navaldia,Yes,Flood Risk Reduction,Earth,6.5,0.2,,,,,13.31645,,09/08/2018,2.0,,Significant,Not Rated,,0.1676,188.6,94.0,
139,SOAD08735,Lyndrassia,No,,Earth,17.885,0.14,,,,0.07486,868.23254,Uncontrolled,19/04/2021,1.0,,High,Poor,11/10/2019,0.1245,46.5,512.9,
140,SOAD08991,Navaldia,Yes,Flood Risk Reduction,Earth,4.186,0.133,,,,,2.66329,,26/03/2019,2.0,,Significant,Poor,,0.1478,460.0,314.3,
141,SOAD10981,Navaldia,Yes,,,5.126,0.092,,,,0.01182,0.0,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.0956,15.6,865.9,
143,SOAD14340,Navaldia,Yes,,,4.179,0.092,,,,0.01182,0.0,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.1023,17.7,866.7,
145,SOAD18953,Navaldia,Yes,,,3.234,0.183,,,,0.02167,,Uncontrolled,03/10/2022,5.0,,High,Fair,16/02/2023,0.0887,6.4,827.7,
146,SOAD01088,Lyndrassia,No,,Earth,7.251,,0.0,,,0.00788,266.329,,,0.0,8.14,High,Not Rated,,0.107,30.9,199.1,
147,SOAD02260,Navaldia,Yes,Other,Earth,3.844,0.053,,1980.0,,0.06107,7.98987,Uncontrolled,11/08/2022,5.0,,Significant,Fair,16/02/2023,0.1067,26.3,473.8,
148,SOAD02426,Navaldia,Yes,,,5.107,0.06,,2003.0,,0.00788,0.0,Uncontrolled,02/06/2022,5.0,,Significant,Fair,12/04/2023,0.0978,7.0,106.8,
151,SOAD08315,Navaldia,Yes,Flood Risk Reduction,Earth,5.768,0.033,,2001.0,,0.00394,2.66329,Uncontrolled,24/05/2019,2.0,,Significant,Not Rated,,0.1646,15.1,465.8,
152,SOAD14643,Navaldia,Yes,,Earth,2.899,0.0,,,,0.0,0.0,Uncontrolled,30/01/2018,5.0,2.96,High,Not Rated,30/01/2023,0.0697,11.0,943.9,
155,SOAD16484,Navaldia,Yes,Flood Risk Reduction,Earth,1.775,0.25,,1990.0,,0.00788,0.0,,26/03/2019,2.0,,Significant,Fair,,0.1485,15.2,259.5,
156,SOAD17280,Navaldia,Yes,Flood Risk Reduction,Earth,5.731,0.157,,1988.0,,0.00788,2.66329,,17/11/2015,2.0,,Significant,Fair,,0.1396,33.6,463.7,
161,SOAD05612,Navaldia,Yes,,Earth,8.192,0.117,,,2016H,0.01576,0.0,Uncontrolled,03/05/2017,5.0,,High,Not Rated,03/05/2022,0.103,31.9,884.7,
162,SOAD06989,Navaldia,Yes,Flood Risk Reduction,Earth,9.677,0.117,,1934.0,,0.0,2.66329,Uncontrolled,12/02/2020,5.0,0.16,High,Fair,28/08/2020,0.0813,32.0,224.1,
163,SOAD07069,Navaldia,Yes,Other,Earth,11.062,0.058,,1982.0,,0.00394,0.0,,15/11/2017,2.0,,Significant,Fair,,0.1318,27.8,452.5,
164,SOAD08746,Flumevale,Yes,Flood Risk Reduction,Earth,13.48,0.12,8900.0,2005.0,,0.00788,0.0,Uncontrolled,17/09/2020,1.0,0.0,High,Fair,17/09/2020,0.0965,8.6,531.1,
166,SOAD10319,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.331,0.167,,1990.0,,0.01379,0.0,Uncontrolled,23/03/2011,5.0,,Significant,Not Rated,23/03/2016,0.0986,18.5,176.5,
167,SOAD10791,Navaldia,Yes,,,4.832,0.09,,,,0.01379,0.0,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.0869,12.8,818.5,
168,SOAD13594,Navaldia,Yes,Flood Risk Reduction,Earth,5.431,0.067,,,,,2.66329,,29/01/2021,1.0,,High,Poor,,0.1252,496.4,707.3,
169,SOAD13834,Navaldia,No,,Earth,4.727,0.15,,,,0.01379,,Uncontrolled,06/05/2014,,,Significant,Not Rated,06/05/2019,0.1706,30.1,307.9,
172,SOAD02236,Navaldia,Yes,Debris Control,Earth,10.437,0.133,,1959.0,,,7.98987,Uncontrolled,02/09/2020,1.0,,High,Satisfactory,,0.1016,721.2,807.1,
174,SOAD04924,Navaldia,Yes,,Earth,6.356,0.093,,2003.0,,0.00788,0.0,Uncontrolled,02/06/2022,5.0,,Significant,Satisfactory,12/04/2023,0.1111,32.5,436.1,
176,SOAD11226,Navaldia,Yes,Flood Risk Reduction,Earth,6.142,0.09,,1988.0,,,2.66329,,19/07/2019,2.0,,Significant,Satisfactory,,0.1185,336.9,192.2,
177,SOAD14453,Navaldia,No,,Earth,3.548,0.133,,,,0.02561,,Uncontrolled,10/03/2015,,,Significant,Not Rated,10/03/2020,0.1422,21.4,70.1,
182,SOAD02990,Navaldia,Yes,Flood Risk Reduction,Earth,7.524,0.047,,1989.0,,,2.66329,,05/03/2021,1.0,,High,Fair,,0.1191,918.0,861.2,
183,SOAD07856,Lyndrassia,Yes,Flood Risk Reduction,Earth,14.225,0.117,45000.0,1992.0,1991,0.01576,0.0,Uncontrolled,02/06/2021,3.0,0.0,High,Satisfactory,21/12/2007,0.0924,42.4,216.5,
189,SOAD16585,Navaldia,Yes,,Earth,4.415,0.127,,1966.0,,0.02167,2.66329,Uncontrolled,29/10/2020,5.0,,High,Fair,18/06/2014,0.0828,15.2,796.2,
190,SOAD18689,Navaldia,Yes,Flood Risk Reduction,Earth,4.56,0.197,,2005.0,,,2.66329,,25/04/2019,2.0,,Significant,Fair,,0.155,66.0,247.2,
191,SOAD19237,Navaldia,Yes,,Earth,3.434,0.035,,2000.0,,0.00788,119.84805,Uncontrolled,18/10/2018,,,Significant,Fair,03/09/2019,0.1319,43.3,340.0,
192,SOAD04037,Navaldia,Yes,Flood Risk Reduction,Earth,4.026,0.1,,1993.0,,0.01576,0.0,Uncontrolled,19/10/2018,5.0,0.0,High,Satisfactory,22/08/2019,0.0608,43.4,124.7,
193,SOAD05573,Navaldia,Yes,Flood Risk Reduction,Earth,8.4,0.068,,1986.0,2014S,,2.66329,,04/11/2020,1.0,,High,Satisfactory,,0.0839,779.0,840.8,
194,SOAD06120,Navaldia,No,,Earth,6.792,0.105,,,,0.01379,90.55186,Uncontrolled,03/06/2015,,,Significant,Not Rated,03/06/2020,0.1704,19.3,39.0,
195,SOAD13066,Navaldia,Yes,,,3.844,0.453,,,,0.01773,0.0,,26/02/2019,5.0,,High,Fair,12/02/2020,0.1005,19.8,694.2,
197,SOAD20087,Navaldia,Yes,Flood Risk Reduction,Earth,8.197,0.098,,,,0.00985,2.66329,,19/10/2018,2.0,,Significant,Fair,,0.1534,43.3,397.0,
198,SOAD00195,Navaldia,Yes,,Earth,6.562,0.098,,1966.0,,0.02364,2.66329,Uncontrolled,29/10/2020,2.0,,High,Unsatisfactory,23/05/2022,0.1339,42.9,626.6,
199,SOAD00368,Navaldia,Yes,Flood Risk Reduction,Earth,9.16,0.06,,1990.0,,,2.66329,,31/12/2019,1.0,,High,Satisfactory,,0.1008,849.0,693.6,
200,SOAD01805,Flumevale,No,Debris Control,Earth,24.241,0.167,0.0,1938.0,,0.00788,13.31645,Uncontrolled,18/05/2022,5.0,,High,Not Available,,0.078,32.3,681.5,
203,SOAD05175,Navaldia,Yes,Flood Risk Reduction,Earth,3.762,0.127,,2004.0,2011H,,2.66329,,16/10/2020,1.0,,High,Satisfactory,,0.0764,905.6,853.3,
204,SOAD08505,Navaldia,Yes,Flood Risk Reduction,Earth,2.78,0.167,,1986.0,,0.00788,5.32658,,11/04/2019,2.0,,Significant,Fair,,0.1426,30.8,57.2,
207,SOAD13575,Navaldia,Yes,Flood Risk Reduction,Earth,7.119,0.043,,,,,2.66329,,28/12/2020,1.0,,High,Fair,,0.0961,793.5,928.7,
208,SOAD13805,Flumevale,No,Fish and Wildlife Pond,Earth,4.377,0.058,2461.0,1934.0,,0.0,0.0,Uncontrolled,18/08/2010,,25.04,Significant,Not Rated,,0.1194,5.0,123.9,
209,SOAD14755,Navaldia,Yes,Other,Earth,8.556,0.037,,,,0.00394,0.0,,13/12/2017,2.0,,Significant,Satisfactory,,0.1385,11.7,43.4,
212,SOAD16757,Navaldia,Yes,Flood Risk Reduction,Earth,5.569,0.333,,,,,2.66329,,28/04/2020,1.0,,High,Fair,,0.0982,788.0,667.3,
213,SOAD17127,Navaldia,Yes,Flood Risk Reduction,Earth,3.422,0.067,,1999.0,,,5.32658,,23/03/2021,2.0,,Significant,Satisfactory,,0.1119,125.5,397.9,
214,SOAD00910,Navaldia,Yes,,Earth,3.985,0.158,,,,0.02955,0.0,Uncontrolled,28/05/2019,2.0,,High,Poor,25/11/2019,0.1359,35.3,511.3,
215,SOAD03137,Flumevale,Yes,Hydroelectric,Earth,9.44,0.136,,1983.0,,0.0197,,,11/09/2019,2.0,,Low,Satisfactory,11/04/2023,0.0644,15.0,8.5,
216,SOAD03483,Lyndrassia,No,Grade Stabilization,Earth,11.399,0.071,7290.0,1993.0,,0.05319,1251.7463,Uncontrolled,,0.0,,Low,Not Rated,,0.0772,18.7,10.5,
217,SOAD03983,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.229,0.043,,1938.0,,,,,,,10.07,Low,,,0.0782,19.0,334.5,
218,SOAD04257,Navaldia,No,,,3.08,,,,,0.03349,,,20/03/2012,,,Significant,Not Rated,18/06/2014,0.1372,32.7,334.3,
220,SOAD06212,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.247,0.133,2000.0,1965.0,,0.00788,93.21515,Uncontrolled,,0.0,,Low,Not Rated,,0.0931,33.0,22.8,
222,SOAD06951,Lyndrassia,Yes,Flood Risk Reduction,Earth,15.695,0.117,0.0,1992.0,1991,0.01773,0.0,Uncontrolled,02/06/2021,3.0,0.0,High,Satisfactory,21/12/2007,0.0858,8.8,707.7,
226,SOAD11672,Navaldia,Yes,,Earth,7.312,0.133,,,,0.01576,0.0,Uncontrolled,07/08/2018,5.0,,High,Not Rated,07/08/2023,0.0969,46.5,867.3,
229,SOAD14676,Lyndrassia,No,Grade Stabilization,Earth,11.913,0.074,6250.0,1997.0,,0.00788,0.0,Uncontrolled,,,101.95,Low,Not Available,,0.0921,31.9,96.9,
231,SOAD19292,Navaldia,Yes,Flood Risk Reduction,Earth,8.455,0.075,,1984.0,,0.0,2.66329,Uncontrolled,02/05/2023,2.0,0.0,High,Not Rated,15/02/2023,0.0811,26.3,360.7,
235,SOAD00944,Lyndrassia,No,Grade Stabilization,Earth,10.153,0.092,9558.0,1996.0,,0.00788,234.36952,Uncontrolled,,0.0,,Low,Not Rated,,0.1034,35.8,9.9,
236,SOAD01763,Navaldia,Yes,Flood Risk Reduction,Earth,4.393,0.133,,1982.0,2010H,,2.66329,,10/10/2012,2.0,,Significant,Fair,,0.1259,151.1,110.4,
238,SOAD05098,Navaldia,Yes,Other,Earth,17.434,0.055,,1982.0,,0.00394,0.0,,15/11/2017,2.0,,Significant,Satisfactory,,0.1137,32.5,116.2,
239,SOAD05797,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.642,0.157,9450.0,1983.0,,0.03152,873.55912,,,0.0,,Low,Not Rated,,0.1136,12.4,19.3,
240,SOAD08010,Lyndrassia,No,,,7.31,,0.0,,,0.01773,,,,0.0,0.0,High,Not Rated,,0.1324,45.1,302.6,
241,SOAD08042,Lyndrassia,No,Grade Stabilization,Earth,11.472,0.073,5313.0,1997.0,,0.03349,1997.4675,Uncontrolled,,0.0,,Low,Not Rated,,0.0798,45.7,18.3,
243,SOAD09511,Lyndrassia,Yes,,,12.921,0.034,,2004.0,,0.00985,2.66329,,,,7.84,Significant,Unsatisfactory,25/05/2016,0.1919,20.7,471.7,
244,SOAD10593,Flumevale,Yes,,Earth,8.948,0.16,,1953.0,,0.03349,45.27593,Uncontrolled,13/07/2018,6.0,1.61,Low,Unsatisfactory,18/05/2011,0.0936,5.4,953.9,
249,SOAD14595,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.9,0.102,3963.0,1957.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1174,41.4,23.0,
250,SOAD14804,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",,10.557,,0.0,1990.0,,0.00788,,,,0.0,0.0,Significant,Not Rated,,0.1487,17.4,115.5,
251,SOAD15391,Navaldia,No,Flood Risk Reduction,Earth,8.606,0.087,,1967.0,,0.00788,0.0,,,,,Low,Not Rated,18/06/2014,0.0943,21.3,15.0,
252,SOAD15496,Navaldia,Yes,Debris Control,Rockfill,12.007,0.11,,1973.0,,0.16351,29.29619,,21/07/2016,5.0,,Low,Not Rated,,0.0847,41.3,8.9,
253,SOAD17444,Lyndrassia,No,Grade Stabilization,Earth,9.692,0.089,7960.0,1995.0,,0.06501,1858.97642,Uncontrolled,,0.0,,Low,Not Rated,,0.0807,18.4,15.4,
