ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD12125,Lyndrassia,No,,Earth,11.628,,0.0,,,0.00788,71.90883,,,0.0,25.04,Low,Not Rated,,0.1051,14.0,394.0,
SOAD14713,Lyndrassia,No,Grade Stabilization,Earth,11.528,0.073,6519.0,1993.0,,0.02561,322.25809,Uncontrolled,,0.0,,Low,Not Rated,,0.0991,28.0,5.9,
SOAD19269,Lyndrassia,No,Grade Stabilization,Earth,10.809,0.113,8360.0,2006.0,,0.06107,676.47566,Uncontrolled,30/09/2006,0.0,,Low,Not Rated,,0.1193,46.7,6.0,
SOAD20303,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.005,0.133,20000.0,1972.0,,0.00788,322.25809,Uncontrolled,,0.0,,Low,Not Rated,,0.0573,26.9,7.3,
SOAD04236,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.388,0.067,,1916.0,,,,,,,92.16,Low,,,0.0756,13.1,149.8,
SOAD04491,Lyndrassia,No,Grade Stabilization,Earth,11.103,0.088,8982.0,1995.0,,0.15957,10541.30182,Uncontrolled,,0.0,,Low,Not Rated,,0.0839,8.1,22.2,
SOAD05526,Lyndrassia,No,Grade Stabilization,Earth,11.089,0.087,5713.0,2006.0,,0.00788,1118.5818,Uncontrolled,31/10/2006,0.0,,Low,Not Rated,,0.0824,5.9,5.1,
SOAD09089,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.81,0.183,13890.0,2002.0,,0.05713,1861.63971,Uncontrolled,01/09/2002,0.0,,Low,Not Rated,,0.0838,34.6,4.9,
SOAD11405,Lyndrassia,Yes,,Earth,13.084,0.08,,,,0.00591,0.0,Uncontrolled,05/04/2022,2.0,0.84,High,Satisfactory,21/04/2014,0.1017,12.2,458.5,
SOAD11757,Lyndrassia,No,Grade Stabilization,Earth,10.062,0.093,8522.0,2005.0,,0.0453099999999999,2831.07727,Uncontrolled,30/09/2005,0.0,,Low,Not Rated,,0.1182,11.5,20.1,
SOAD13101,Lyndrassia,No,Fish and Wildlife Pond,Earth,12.862,0.087,9893.0,2000.0,,0.03349,719.0883,Uncontrolled,30/05/2000,5.0,,Low,Not Rated,,0.0709,33.1,9.2,
SOAD14315,Lyndrassia,No,Grade Stabilization,Earth,11.094,0.073,7788.0,2007.0,,0.04137,178.44043,Uncontrolled,03/10/2007,0.0,,Low,Not Rated,,0.1082,16.8,14.6,
SOAD16038,Lyndrassia,No,Grade Stabilization,Earth,11.398,0.117,7455.0,1997.0,,0.00788,609.89341,Uncontrolled,,0.0,,Low,Not Rated,,0.079,45.8,20.0,
SOAD16478,Lyndrassia,No,Grade Stabilization,Earth,10.047,0.076,5974.0,2017.0,,0.00788,0.0,Uncontrolled,02/08/2017,5.0,28.5,Low,Not Available,,0.0656,36.4,413.1,
SOAD16803,Lyndrassia,No,Other,Earth,13.721,0.092,6373.0,1997.0,,0.05122,1318.32855,Uncontrolled,,0.0,,Low,Not Rated,,0.1009,28.6,20.9,
SOAD17753,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.678,0.062,8215.0,1989.0,,0.05713,2085.35607,Uncontrolled,,0.0,,Low,Not Rated,,0.0983,22.8,19.9,
SOAD17880,Lyndrassia,No,Grade Stabilization,Earth,11.248,0.1,7075.0,2004.0,,0.05713,1542.04491,Uncontrolled,01/11/2004,0.0,,Low,Not Rated,,0.0968,15.4,8.8,
SOAD17927,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,12.302,0.054,5964.0,1989.0,,0.03349,934.81479,Uncontrolled,,0.0,,Low,Not Rated,,0.1003,20.1,18.9,
SOAD18712,Lyndrassia,No,Grade Stabilization,Earth,10.397,0.088,5645.0,1998.0,,0.05319,945.46795,Uncontrolled,,0.0,,Low,Not Rated,,0.0796,5.4,5.0,
SOAD19386,Lyndrassia,No,Grade Stabilization,Earth,11.809,0.153,7120.0,1973.0,,0.00788,905.5186,Uncontrolled,,0.0,,Low,Not Rated,,0.124,9.8,13.2,
SOAD19621,Lyndrassia,No,Grade Stabilization,Earth,10.445,0.108,6435.0,1996.0,,0.03349,2298.41927,Uncontrolled,,0.0,,Low,Not Rated,,0.1183,6.7,17.1,
SOAD19752,Lyndrassia,No,Grade Stabilization,Earth,11.758,0.093,10167.0,1990.0,,0.04925,2162.59148,Uncontrolled,,0.0,,Low,Not Rated,,0.1104,6.5,18.2,
SOAD00040,Lyndrassia,No,Grade Stabilization,Earth,10.367,0.089,7087.0,2002.0,,0.02561,524.66813,Uncontrolled,21/11/2002,0.0,,Low,Not Rated,,0.127,35.0,23.3,
SOAD02499,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.096,0.078,6474.0,1989.0,,0.08274,2897.65952,Uncontrolled,,0.0,,Low,Not Rated,,0.1008,12.2,6.3,
SOAD03001,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,16.796,0.067,0.0,1973.0,,0.02364,0.0,,30/10/2019,,14.5,Low,Not Rated,21/12/2007,0.122,23.4,149.2,
SOAD06132,Lyndrassia,No,Grade Stabilization,Earth,10.976,0.117,10913.0,2005.0,,0.01773,793.6604199999999,Uncontrolled,30/09/2005,0.0,,Low,Not Rated,,0.0682,32.0,17.9,
SOAD06955,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.837,0.108,8200.0,2001.0,,0.07683,3086.75311,Uncontrolled,01/09/2001,0.0,,Low,Not Rated,,0.0634,6.7,12.3,
SOAD07911,Lyndrassia,No,Grade Stabilization,Earth,11.687,0.067,6370.0,2006.0,,0.04334,1121.24509,Uncontrolled,30/09/2006,0.0,,Low,Not Rated,,0.064,31.6,23.4,
SOAD08749,Lyndrassia,No,Recreation,Earth,8.845,,0.0,,,0.01773,6714.15409,,,0.0,0.0,Low,Not Rated,,0.1292,11.8,684.6,6.3
SOAD09199,Lyndrassia,No,Grade Stabilization,Earth,10.062,0.117,5430.0,1976.0,,0.04925,1222.45011,Uncontrolled,,0.0,,Low,Not Rated,,0.0613,7.8,17.8,
SOAD10193,Lyndrassia,Yes,,Earth,12.262,0.07,,,,0.01182,0.0,,19/12/2018,5.0,,Significant,Satisfactory,02/01/2014,0.1123,32.3,125.2,
SOAD11694,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.957,0.047,,1960.0,,,,,,,28.27,Low,,,0.0837,22.7,362.6,
SOAD13670,Lyndrassia,No,Recreation,Earth,10.46,0.1,7600.0,1974.0,,0.0886499999999999,3185.29484,Uncontrolled,,0.0,,Low,Not Rated,,0.0977,32.4,6.0,5.2
SOAD15245,Lyndrassia,No,Grade Stabilization,Earth,13.099,0.103,8022.0,1980.0,,0.00788,404.82008,Uncontrolled,,5.0,,Low,Not Rated,,0.0351,24.4,6.3,
SOAD15344,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.461,0.117,,1939.0,,,,,,,16.94,Low,,,0.0993,15.2,378.9,
SOAD15361,Lyndrassia,No,Grade Stabilization,Earth,10.173,0.09,7517.0,1997.0,,0.00788,2040.08014,Uncontrolled,,0.0,,Low,Not Rated,,0.1154,45.2,7.4,
SOAD15532,Lyndrassia,No,Grade Stabilization,Earth,10.993,0.107,6863.0,2007.0,,0.06501,2801.78108,Uncontrolled,08/09/2007,0.0,,Low,Not Rated,,0.1145,21.3,16.6,
SOAD18733,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.746,0.083,5300.0,1999.0,,0.08077,2894.99623,Uncontrolled,01/11/1999,0.0,,Low,Not Rated,,0.1067,43.6,13.5,
SOAD19158,Lyndrassia,No,Debris Control,Earth,8.51,0.482,,,,0.0394,5.32658,Uncontrolled,02/08/2023,4.0,17.17,Low,Fair,02/08/2023,0.0588,13.2,177.7,
SOAD19898,Lyndrassia,No,Grade Stabilization,Earth,10.772,0.08,6510.0,1986.0,,0.01576,45.27593,Uncontrolled,,0.0,,Low,Not Rated,,0.0998,9.1,16.0,
SOAD19974,Lyndrassia,No,Grade Stabilization,Earth,11.134,0.113,6526.0,2007.0,,0.00788,133.1645,Uncontrolled,03/10/2007,0.0,,Low,Not Rated,,0.0757,5.6,22.8,
SOAD20174,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.98,0.15,15000.0,1958.0,,0.08274,1739.12837,Uncontrolled,,0.0,,Low,Not Rated,,0.0801,8.8,15.7,
SOAD00545,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.743,0.067,7817.0,1989.0,,0.03349,1563.35123,Uncontrolled,,0.0,,Low,Not Rated,,0.0734,34.1,7.1,
SOAD06829,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.483,0.05,,1965.0,,,,,,,21.83,Low,,,0.0773,5.2,114.2,
SOAD07249,Lyndrassia,No,Recreation,Earth,10.593,0.117,7637.0,1996.0,,0.02364,268.99229,Uncontrolled,,2.0,,Low,Not Rated,,0.1299,39.7,18.2,9.2
SOAD07826,Lyndrassia,No,Grade Stabilization,Earth,9.896,0.103,4890.0,1974.0,,0.06107,7363.996849999999,Uncontrolled,,0.0,,Low,Not Rated,,0.1182,9.8,10.6,
SOAD08622,Lyndrassia,No,Grade Stabilization,Earth,10.533,0.127,5166.0,1964.0,,0.1871499999999999,2133.29529,Uncontrolled,27/03/1981,0.0,,Low,Not Rated,,0.085,42.4,6.0,
SOAD10689,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.004,0.115,8343.0,2002.0,,0.04334,836.27306,Uncontrolled,01/09/2002,0.0,,Low,Not Rated,,0.131,12.4,14.5,
SOAD11668,Lyndrassia,No,Grade Stabilization,Earth,11.63,0.117,7477.0,1992.0,,0.04137,1739.12837,Uncontrolled,,0.0,,Low,Not Rated,,0.0735,37.0,5.0,
SOAD12505,Lyndrassia,No,Other,Earth,9.908,0.137,9388.0,1999.0,,0.03349,612.5567,Uncontrolled,24/09/1999,1.0,,Low,Not Rated,,0.0984,22.5,10.7,
SOAD12596,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.957,0.079,5158.0,2002.0,,0.06895,2096.00923,Uncontrolled,01/09/2002,0.0,,Low,Not Rated,,0.0828,20.7,11.6,
SOAD13085,Lyndrassia,No,Fish and Wildlife Pond,Earth,10.456,0.1,10000.0,1977.0,,0.02561,1083.95903,Uncontrolled,,0.0,,Low,Not Rated,,0.1058,38.1,13.8,
SOAD15668,Lyndrassia,Yes,Recreation,Earth,17.596,0.187,1000000.0,1988.0,1987,0.01576,0.0,Uncontrolled,18/01/2023,2.0,0.0,High,Satisfactory,21/12/2007,0.0966,41.6,258.8,4.7
SOAD16417,Lyndrassia,No,Grade Stabilization,Earth,10.061,0.083,4823.0,2006.0,,0.05713,817.63003,Uncontrolled,30/09/2006,0.0,,Low,Not Rated,,0.0609,37.0,19.2,
SOAD16601,Lyndrassia,No,Grade Stabilization,Earth,10.104,0.103,9097.0,1992.0,,0.02561,1131.89825,Uncontrolled,,0.0,,Low,Not Rated,,0.0768,37.2,18.6,
SOAD17220,Lyndrassia,No,Grade Stabilization,Earth,12.706,0.167,7080.0,1974.0,,0.00788,332.91125,Uncontrolled,,5.0,,Low,Not Rated,,0.0696,9.2,6.4,
SOAD19427,Lyndrassia,No,Grade Stabilization,Earth,11.363,0.078,7557.0,1989.0,,0.01576,189.09359,Uncontrolled,,0.0,,Low,Not Rated,,0.1269,26.5,16.1,
SOAD00652,Lyndrassia,Yes,Other,Earth,11.95,0.072,0.0,2000.0,2003,,0.0,,31/03/2004,0.0,,High,Not Rated,,0.1121,662.6,520.2,
SOAD00872,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.281,0.1,3000.0,1967.0,,0.01576,330.24796,Uncontrolled,,0.0,,Low,Not Rated,,0.0972,5.2,18.1,
SOAD01919,Lyndrassia,No,Flood Risk Reduction,Earth,8.379,0.227,13039.0,2004.0,,0.00788,239.6961,Uncontrolled,30/06/2004,0.0,,Low,Not Rated,,0.1209,43.6,18.5,
SOAD03403,Lyndrassia,No,Grade Stabilization,Earth,9.956,0.094,5961.0,1994.0,,0.04137,71.90883,Uncontrolled,,0.0,,Low,Not Rated,,0.0827,45.6,12.6,
SOAD05745,Lyndrassia,No,Grade Stabilization,Earth,9.148,0.078,6297.0,1998.0,,0.06698,1659.22967,Uncontrolled,,0.0,,Low,Not Rated,,0.0725,31.9,20.2,
SOAD06075,Lyndrassia,No,Grade Stabilization,Earth,9.653,0.133,4150.0,1986.0,,0.07289,537.9845799999999,Uncontrolled,,0.0,,Low,Not Rated,,0.0781,24.0,16.4,
SOAD08558,Lyndrassia,No,Grade Stabilization,Earth,10.137,0.09,4820.0,1977.0,,0.12214,908.18189,Uncontrolled,,0.0,,Low,Not Rated,,0.0741,17.4,6.9,
SOAD08916,Lyndrassia,No,Grade Stabilization,Earth,11.004,0.083,7457.0,1997.0,,0.0925899999999999,5582.25584,Uncontrolled,,0.0,,Low,Not Rated,,0.0848,33.6,23.5,
SOAD09615,Lyndrassia,No,Grade Stabilization,Earth,9.456,0.119,8559.0,1994.0,,0.03152,878.8856999999999,Uncontrolled,,0.0,,Low,Not Rated,,0.0657,37.1,22.0,
SOAD09778,Lyndrassia,No,,Earth,12.692,0.192,45000.0,,1999,0.02561,266.329,Uncontrolled,,5.0,0.0,Low,Not Rated,,0.0673,38.8,843.8,
