ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD01247,Flumevale,No,Water Supply,Earth,7.299,0.253,,,,,,,,,1.67,Significant,Not Available,,0.1451,312.7,887.2,47.5
SOAD11867,Flumevale,Yes,Water Supply,Earth,4.43,0.083,,1999.0,2000,0.00788,0.0,Uncontrolled,24/05/2013,2.0,11.38,Significant,Fair,24/05/2013,0.1314,18.3,151.7,15.0
SOAD11892,Flumevale,No,Water Supply,,5.94,0.032,,,,,,,,,1.63,High,Not Available,,0.0765,719.6,565.6,15.9
SOAD15152,Flumevale,Yes,Flood Risk Reduction,Earth,11.071,0.095,21140.0,2005.0,,0.00788,0.0,Uncontrolled,17/09/2020,1.0,,High,Fair,17/09/2020,0.1114,43.7,816.2,
SOAD02714,Flumevale,No,Water Supply,Earth,13.753,0.033,,,,,,,,,7.67,High,Not Available,,0.1083,672.7,452.4,51.7
SOAD05372,Flumevale,Yes,Irrigation,Earth,5.634,0.08,3550.0,1960.0,,0.00788,7.98987,Uncontrolled,21/06/2021,2.0,16.56,Significant,Fair,21/06/2021,0.1503,8.1,260.9,24.6
SOAD11286,Flumevale,Yes,Recreation,Earth,3.498,0.133,,1966.0,,0.00788,7.98987,Uncontrolled,29/08/2022,2.0,1.59,Significant,Fair,29/08/2022,0.1333,11.7,704.8,4.9
SOAD03788,Flumevale,Yes,Recreation,Earth,2.778,0.1,698.0,1933.0,,0.01773,7.98987,Uncontrolled,24/08/2022,2.0,0.0,Significant,Satisfactory,24/08/2022,0.1303,43.8,343.5,5.8
SOAD08746,Flumevale,Yes,Flood Risk Reduction,Earth,13.48,0.12,8900.0,2005.0,,0.00788,0.0,Uncontrolled,17/09/2020,1.0,0.0,High,Fair,17/09/2020,0.0965,8.6,531.1,
SOAD10234,Flumevale,Yes,Water Supply,Earth,7.349,0.06,,2007.0,2016,0.00788,0.0,Uncontrolled,28/09/2021,2.0,3.35,Significant,Satisfactory,28/09/2021,0.1222,33.1,879.3,54.1
SOAD12835,Flumevale,Yes,Water Supply,Earth,7.45,0.093,7400.0,1964.0,2011H,0.00788,0.0,Uncontrolled,05/05/2021,2.0,4.63,Significant,Satisfactory,05/05/2021,0.1031,39.9,162.8,46.6
SOAD01805,Flumevale,No,Debris Control,Earth,24.241,0.167,0.0,1938.0,,0.00788,13.31645,Uncontrolled,18/05/2022,5.0,,High,Not Available,,0.078,32.3,681.5,
SOAD13805,Flumevale,No,Fish and Wildlife Pond,Earth,4.377,0.058,2461.0,1934.0,,0.0,0.0,Uncontrolled,18/08/2010,,25.04,Significant,Not Rated,,0.1194,5.0,123.9,
SOAD03137,Flumevale,Yes,Hydroelectric,Earth,9.44,0.136,,1983.0,,0.0197,,,11/09/2019,2.0,,Low,Satisfactory,11/04/2023,0.0644,15.0,8.5,
SOAD18509,Flumevale,Yes,Recreation,Earth,5.384,0.193,,,,0.01576,0.0,,16/11/2021,2.0,6.48,Significant,Satisfactory,16/11/2021,0.1246,38.9,358.6,4.3
SOAD20558,Flumevale,Yes,Recreation,Other,4.556,0.284,0.0,1940.0,,0.02364,0.0,Uncontrolled,24/03/2022,2.0,0.0,Significant,Fair,24/03/2022,0.1407,13.2,108.1,8.7
SOAD10593,Flumevale,Yes,,Earth,8.948,0.16,,1953.0,,0.03349,45.27593,Uncontrolled,13/07/2018,6.0,1.61,Low,Unsatisfactory,18/05/2011,0.0936,5.4,953.9,
SOAD12130,Flumevale,Yes,Irrigation,Earth,13.105,0.1,0.0,1990.0,,0.01576,,,21/02/2023,1.0,,Significant,Fair,01/09/2017,0.1522,46.3,199.0,9.4
SOAD20636,Flumevale,Yes,Water Supply,Earth,9.271,0.167,600.0,1982.0,,0.01773,0.0,,23/10/2018,6.0,1.61,Low,Satisfactory,22/07/2016,0.0438,8.9,821.9,13.7
SOAD00507,Flumevale,Yes,Water Supply,Earth,16.582,0.087,16850.0,1989.0,,0.00788,0.0,Uncontrolled,25/03/2019,6.0,9.41,Low,Not Rated,,0.0624,31.2,217.4,11.0
SOAD14947,Flumevale,Yes,Irrigation,Earth,11.707,0.037,0.0,1973.0,,0.00788,0.0,Uncontrolled,21/04/2004,0.0,13.27,Low,Not Rated,,0.0843,26.7,123.1,23.4
SOAD18593,Flumevale,Yes,Water Supply,Earth,14.382,0.209,42500.0,1922.0,,0.00788,0.0,,16/03/2022,1.0,,Low,Satisfactory,01/09/2017,0.0786,34.9,17.3,67.0
SOAD20352,Flumevale,Yes,Flood Risk Reduction,Earth,13.481,0.05,145.0,1974.0,1977,0.00788,0.0,,02/12/2016,3.0,1.69,Low,Not Rated,,0.1019,8.8,357.6,
SOAD02117,Flumevale,Yes,Recreation,Earth,11.511,0.14,,,,0.01576,0.0,Uncontrolled,24/06/2021,6.0,,Low,Fair,25/09/2018,0.0524,28.1,23.7,3.9
SOAD06483,Flumevale,No,,Earth,8.502,0.0,0.0,1944.0,,0.0197,1078.63245,,07/12/2022,,,Significant,Not Available,,0.1584,30.1,235.0,
SOAD09248,Flumevale,Yes,Other,Earth,15.568,0.133,42562.0,1979.0,,0.00788,0.0,,01/01/1991,6.0,24.89,Low,Not Rated,,0.0225,20.2,171.7,
SOAD12911,Flumevale,Yes,Water Supply,Earth,31.238,0.1,57000.0,1940.0,,0.00788,0.0,,24/08/2022,1.0,0.16,High,Satisfactory,01/09/2017,0.069,31.5,144.8,32.6
SOAD20752,Flumevale,Yes,Water Supply,Earth,12.74,0.111,17065.0,1962.0,,0.01773,0.0,,11/08/2022,1.0,0.47,High,Satisfactory,01/09/2017,0.0782,18.6,665.2,62.6
SOAD02445,Flumevale,Yes,Irrigation,Earth,9.043,0.243,8100.0,2006.0,,0.02364,0.0,Uncontrolled,01/10/2018,6.0,,Low,Satisfactory,23/10/2015,0.0523,38.9,14.7,36.4
SOAD02894,Flumevale,Yes,Debris Control,Earth,13.579,0.088,28000.0,1962.0,,0.00788,2.66329,,20/10/2021,1.0,0.0,High,Satisfactory,01/09/2017,0.0753,16.4,234.3,
SOAD06402,Flumevale,Yes,Water Supply,Other,61.175,0.335,0.0,1968.0,,0.00788,0.0,,17/08/2022,1.0,,Significant,Satisfactory,01/09/2017,0.1129,46.1,315.0,8.6
SOAD19913,Flumevale,No,Other,Earth,5.106,0.033,,,,,,,,,1.01,High,Not Available,,0.1051,885.0,246.6,
SOAD00632,Flumevale,Yes,Irrigation,Earth,8.833,0.067,,1946.0,,0.01576,0.0,Uncontrolled,06/06/2014,6.0,6.58,Low,Not Rated,,0.0804,25.1,330.2,20.9
SOAD01721,Flumevale,Yes,Water Supply,Earth,10.502,0.347,11400.0,1954.0,,0.01576,0.0,,17/03/2022,1.0,,High,Satisfactory,01/09/2017,0.0723,25.1,850.6,13.4
SOAD03347,Flumevale,No,Irrigation,Concrete,10.727,0.055,1750.0,1965.0,,0.01773,69.24554,Uncontrolled,22/06/2022,3.0,73.82,Low,Satisfactory,29/09/2023,0.0772,21.9,157.4,46.5
SOAD08116,Flumevale,Yes,Hydroelectric,Earth,14.519,0.15,,1906.0,,0.02364,,Uncontrolled,08/09/2022,3.0,3.27,Low,Fair,29/09/2023,0.081,26.4,328.2,79.0
SOAD08173,Flumevale,Yes,Debris Control,Earth,23.083,0.082,62000.0,1957.0,,0.01773,,,17/02/2022,1.0,0.16,High,Satisfactory,01/09/2017,0.0867,41.5,699.0,
SOAD11011,Flumevale,Yes,Recreation,Earth,7.912,0.07,3641.0,1955.0,,0.0,15.97974,Uncontrolled,14/09/2010,,0.0,Significant,Not Rated,,0.1786,5.9,554.8,4.3
SOAD19635,Flumevale,Yes,Flood Risk Reduction,Earth,13.349,0.07,10875.0,1959.0,,0.01576,0.0,Uncontrolled,05/11/2013,3.0,12.74,Low,Satisfactory,15/04/2019,0.0613,7.7,425.9,
SOAD06018,Flumevale,Yes,Recreation,Earth,6.087,0.083,,,2016,0.01773,7.98987,,31/10/2019,2.0,27.72,Significant,Satisfactory,31/10/2019,0.1228,18.5,472.8,3.1
SOAD06333,Flumevale,Yes,Irrigation,Earth,14.307,0.07,0.0,1973.0,,0.00788,0.0,Uncontrolled,21/04/2004,0.0,12.97,Low,Fair,08/10/2019,0.0768,41.0,372.3,42.0
SOAD07705,Flumevale,Yes,,Earth,11.951,0.077,0.0,1950.0,,0.01379,,,10/08/2022,1.0,2.3,High,Fair,01/09/2017,0.1022,16.9,449.3,
SOAD12420,Flumevale,Yes,Water Supply,Earth,14.684,0.097,19400.0,1969.0,,0.01576,0.0,,06/04/2022,0.5,,Low,Satisfactory,01/09/2017,0.0489,47.3,22.6,12.9
SOAD13479,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Gravity,23.569,0.163,83018.0,1962.0,,0.07683,,,18/04/2012,5.0,6.21,Low,Not Rated,,0.0705,19.4,309.7,
SOAD02075,Flumevale,No,Other,Earth,26.928,0.133,,,,,,,,,6.39,High,Not Available,,0.0841,520.5,161.2,
SOAD03528,Flumevale,Yes,Water Supply,Earth,14.85,0.117,9600.0,1962.0,,0.00788,,,27/05/2022,1.0,0.0,High,Satisfactory,01/09/2017,0.1102,45.6,595.7,5.3
SOAD04421,Flumevale,Yes,Recreation,Earth,8.878,0.043,5108.0,1935.0,1975S;1984S;1995,0.01576,0.0,Uncontrolled,14/05/2020,6.0,8.11,Low,Satisfactory,20/03/2009,0.0345,29.4,364.8,5.4
SOAD08897,Flumevale,Yes,Debris Control,Gravity,15.149,0.196,46893.0,1965.0,,0.0906199999999999,15249.99854,Uncontrolled,18/06/2012,5.0,0.0,Low,Fair,18/06/2012,0.057,18.9,681.4,
SOAD09829,Flumevale,No,Recreation,Earth,9.463,0.07,,1955.0,,,0.0,Uncontrolled,09/06/2014,10.0,28.59,Low,Not Rated,,0.057,19.8,210.7,2.9
SOAD10422,Flumevale,Yes,Other,Gravity,10.899,0.133,16216.0,1968.0,,0.16942,,,04/06/2014,5.0,9.83,Low,Not Rated,,0.0904,8.7,381.9,
SOAD14395,Flumevale,Yes,Water Supply,Earth,24.015,0.08,75722.0,1980.0,,0.00788,42.61264,Uncontrolled,21/10/2003,0.0,3.2,Low,Not Rated,,0.1188,23.7,914.3,20.7
SOAD01676,Flumevale,Yes,,Earth,9.449,0.08,,1982.0,,0.00788,0.0,Uncontrolled,20/03/2019,6.0,0.0,Low,Satisfactory,28/07/2020,0.0327,20.7,105.1,
SOAD03436,Flumevale,Yes,Other,Earth,10.554,0.063,,1974.0,,0.01576,0.0,Uncontrolled,30/04/1992,0.0,0.0,Low,Not Rated,,0.0814,47.1,910.2,
SOAD05014,Flumevale,Yes,Debris Control,Earth,13.242,0.127,0.0,1962.0,,0.01773,5.32658,,04/11/2021,1.0,0.0,High,Satisfactory,01/09/2017,0.0812,28.7,772.7,
SOAD10817,Flumevale,Yes,Fish and Wildlife Pond,Gravity,10.902,0.023,,1983.0,,0.01773,95.87844,Uncontrolled,06/08/2010,6.0,24.83,Low,Fair,30/04/2020,0.0564,29.8,451.0,
SOAD11258,Flumevale,Yes,Other,Earth,13.153,0.117,22260.0,1950.0,,0.0197,,,10/08/2022,1.0,2.35,High,Fair,01/09/2017,0.1139,46.1,848.3,
SOAD14220,Flumevale,Yes,Water Supply,Earth,10.841,0.094,26000.0,2006.0,,0.01576,0.0,Uncontrolled,15/02/2019,6.0,1.63,Low,Not Rated,,0.0568,46.1,930.7,15.7
SOAD18608,Flumevale,Yes,Water Supply,Earth,52.641,0.339,0.0,1958.0,,0.01773,,,26/10/2021,1.0,0.14,High,Satisfactory,01/09/2017,0.0899,27.4,602.3,12.9
SOAD06890,Flumevale,Yes,Irrigation,Earth,10.521,0.108,,1960.0,,0.01773,0.0,Uncontrolled,24/09/2009,6.0,31.99,Low,Not Rated,,0.0862,31.4,230.2,16.8
SOAD07167,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.485,0.073,6700.0,1992.0,,0.00788,0.0,Uncontrolled,09/08/2017,6.0,17.91,Low,Not Rated,,0.0478,16.7,213.8,
SOAD11290,Flumevale,Yes,Irrigation,Earth,10.449,0.055,13605.0,1953.0,,0.00788,7.98987,,19/07/2007,6.0,9.78,Low,Not Rated,,0.0363,46.6,253.5,21.2
SOAD12393,Flumevale,Yes,Irrigation,Earth,11.377,0.091,,1965.0,1973;1993,0.01773,0.0,Uncontrolled,14/05/2019,6.0,3.22,Low,Satisfactory,20/05/2020,0.0319,34.2,780.8,44.8
SOAD13603,Flumevale,Yes,Water Supply,Other,11.27,0.337,152000.0,2011.0,,0.00197,,,17/08/2022,1.0,0.8,High,Satisfactory,01/09/2017,0.0846,11.8,182.2,5.7
SOAD20735,Flumevale,Yes,Recreation,Earth,4.735,0.073,0.0,1967.0,2016,0.01773,13.31645,Uncontrolled,12/08/2022,2.0,1.54,Significant,Satisfactory,12/08/2022,0.1176,22.7,569.7,6.0
SOAD01605,Flumevale,Yes,Water Supply,Earth,15.335,0.147,27333.0,1948.0,,0.01576,0.0,,11/07/2023,0.5,,Low,Poor,20/07/2018,0.1049,6.7,16.4,41.3
SOAD01826,Flumevale,Yes,Water Supply,Earth,11.195,0.072,0.0,1969.0,,0.00788,7.98987,Uncontrolled,27/09/2013,6.0,3.07,Low,Fair,22/08/2019,0.0568,5.9,621.6,32.0
SOAD02825,Flumevale,Yes,Flood Risk Reduction,Earth,9.257,0.149,0.0,1957.0,,0.01576,0.0,Uncontrolled,05/10/2020,6.0,13.92,Low,Satisfactory,05/11/2013,0.0506,20.9,383.3,
SOAD03656,Flumevale,Yes,Water Supply,Other,9.395,0.292,0.0,1970.0,,0.00788,0.0,,16/03/2022,1.0,,High,Satisfactory,01/09/2017,0.0824,39.6,587.7,56.5
SOAD03914,Flumevale,Yes,Recreation,Earth,8.851,0.134,8000.0,1984.0,,0.00788,7.98987,Uncontrolled,11/12/2018,6.0,3.3,Low,Not Rated,,0.058,30.3,391.5,9.1
SOAD18320,Flumevale,Yes,Water Supply,Earth,15.01,0.067,11000.0,1890.0,,0.01576,2.66329,,23/06/2022,1.0,0.79,High,Satisfactory,01/09/2017,0.0941,33.6,569.5,15.0
SOAD02366,Flumevale,Yes,Debris Control,Earth,26.889,0.619,379000.0,1980.0,,0.02364,26.6329,,27/01/2022,1.0,0.0,High,Satisfactory,01/09/2017,0.1031,27.1,952.3,
SOAD04740,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.287,0.0,0.0,1954.0,,0.0,0.0,,06/12/2022,,,Significant,Not Available,,0.1843,28.9,448.7,
SOAD05331,Flumevale,Yes,Water Supply,Earth,7.127,0.56,11822.0,1996.0,,0.01576,0.0,,18/06/2020,2.0,11.47,Significant,Fair,18/06/2020,0.142,42.4,176.2,22.3
SOAD08968,Flumevale,Yes,Irrigation,Earth,18.088,0.117,32000.0,,,0.01576,,,09/03/2023,1.0,,Significant,Fair,01/09/2017,0.1225,5.4,179.7,30.2
SOAD09486,Flumevale,Yes,Water Supply,Earth,12.535,0.067,0.0,,,0.01576,,,14/03/2018,1.0,,Significant,Not Rated,15/02/2022,0.1499,19.8,155.4,62.8
SOAD10560,Flumevale,Yes,Other,Earth,17.26,0.09,18300.0,1962.0,,0.01773,0.0,,03/05/2022,0.5,,Low,Satisfactory,01/09/2017,0.0746,43.6,19.5,
SOAD10701,Flumevale,Yes,Recreation,Earth,9.345,0.09,,1955.0,,0.01773,47.93922,,18/11/1992,0.0,144.73,Low,Fair,25/09/2014,0.0886,19.7,176.4,2.9
SOAD14640,Flumevale,Yes,Irrigation,Earth,12.453,0.077,,1958.0,,0.01576,13.31645,,02/11/1988,0.0,22.22,Low,Satisfactory,19/09/2016,0.0694,45.5,307.6,5.5
SOAD00298,Flumevale,Yes,Hydroelectric,Earth,11.238,0.073,,1904.0,,0.01576,74.57212,,13/09/2012,6.0,23.39,Low,Satisfactory,05/10/2015,0.0429,18.9,127.3,74.5
SOAD04543,Flumevale,Yes,Flood Risk Reduction,Earth,7.983,0.082,0.0,1958.0,,0.01773,0.0,Uncontrolled,01/11/2021,3.0,0.0,Significant,Satisfactory,01/11/2021,0.1271,19.6,809.3,
SOAD11269,Flumevale,Yes,Debris Control,Earth,15.13,0.088,33000.0,1986.0,,0.01773,5.32658,,09/08/2022,1.0,4.99,Significant,Satisfactory,01/09/2017,0.0987,12.4,722.7,
SOAD16708,Flumevale,Yes,Other,Gravity,15.237,0.012,3672.0,1953.0,,0.01773,3177.30497,,17/11/2021,0.5,,Low,Satisfactory,01/09/2017,0.0718,31.7,11.0,
SOAD20505,Flumevale,Yes,Recreation,Earth,9.89,0.071,0.0,1954.0,,0.01576,13.31645,Uncontrolled,06/10/2022,6.0,8.37,Low,Fair,27/09/2022,0.0356,7.4,233.2,8.4
SOAD03390,Flumevale,No,Recreation,Earth,8.866,0.072,2891.0,1938.0,,,26.6329,Controlled,07/08/2013,10.0,19.44,Low,Not Rated,,0.0195,8.3,302.5,6.2
SOAD04757,Flumevale,Yes,Irrigation,Earth,9.706,0.07,0.0,1953.0,,0.01773,0.0,Uncontrolled,29/09/2022,6.0,23.17,Low,Not Rated,,0.0821,25.6,280.5,11.7
SOAD01286,Flumevale,Yes,Water Supply,Earth,10.164,0.344,2500.0,1964.0,,0.01773,0.0,,16/03/2022,1.0,,High,Satisfactory,01/09/2017,0.0855,11.3,601.4,68.7
SOAD06818,Flumevale,Yes,Irrigation,Earth,12.671,0.133,2015.0,1936.0,2004H;2004S,0.01773,21.30632,Uncontrolled,23/06/2022,2.0,3.31,Significant,Fair,23/06/2022,0.1386,41.9,113.4,12.7
SOAD09813,Flumevale,Yes,Flood Risk Reduction,Earth,12.88,0.179,17400.0,1959.0,,0.02561,0.0,Uncontrolled,15/04/2014,3.0,8.19,Low,Satisfactory,05/06/2020,0.0821,28.7,436.8,
SOAD12655,Flumevale,Yes,Debris Control,Earth,18.056,0.308,83000.0,1966.0,,0.00788,2.66329,,01/12/2021,1.0,0.16,High,Satisfactory,01/09/2017,0.0912,26.6,764.5,
SOAD16968,Flumevale,Yes,Irrigation,Earth,12.899,0.088,12587.0,1955.0,,0.01576,0.0,,30/08/2017,6.0,10.88,Low,Not Rated,,0.0835,39.5,433.0,40.3
SOAD05259,Flumevale,Yes,Fish and Wildlife Pond,Earth,9.762,0.227,,1970.0,,0.03349,0.0,,20/09/2001,0.0,16.59,Low,Fair,11/12/2018,0.097,39.7,245.9,
SOAD10322,Flumevale,Yes,Water Supply,Earth,13.184,0.367,38500.0,1965.0,,0.01576,,,25/05/2022,1.0,0.0,High,Satisfactory,01/09/2017,0.0951,39.8,562.7,48.2
SOAD15752,Flumevale,Yes,Irrigation,Earth,9.213,0.267,0.0,1979.0,,0.01576,0.0,Uncontrolled,23/05/2022,2.0,0.0,Significant,Satisfactory,23/05/2022,0.1212,26.4,833.8,24.0
SOAD15777,Flumevale,Yes,,,9.761,,,,,,,,25/04/2013,6.0,,Low,Unsatisfactory,28/07/2004,0.0931,9.2,7.1,
SOAD19994,Flumevale,Yes,Irrigation,Earth,10.12,0.092,0.0,1990.0,,0.01576,0.0,Uncontrolled,06/10/2020,6.0,1.58,Low,Satisfactory,19/07/2019,0.0406,45.1,576.7,16.9
SOAD03372,Flumevale,Yes,Other,Gravity,14.263,0.04,0.0,1908.0,,0.01576,26.6329,,04/01/2023,1.0,2.53,High,Fair,21/11/2019,0.0905,11.3,422.6,
SOAD04121,Flumevale,Yes,Irrigation,Earth,11.601,0.062,6800.0,2015.0,,0.01773,37.28606,Uncontrolled,31/12/2015,0.0,14.46,Low,Not Rated,,0.0808,36.7,257.4,37.4
SOAD04201,Flumevale,Yes,Flood Risk Reduction,Rockfill,15.13,0.187,27610.0,1999.0,,0.00788,0.0,Uncontrolled,17/09/2020,1.0,0.0,High,Fair,17/09/2020,0.1046,6.2,194.0,
SOAD16350,Flumevale,Yes,Flood Risk Reduction,Earth,22.189,0.11,63000.0,1964.0,,0.02561,2.66329,,24/02/2022,1.0,0.4,High,Satisfactory,01/09/2017,0.0932,44.4,933.6,
SOAD02195,Flumevale,Yes,Other,Earth,12.833,0.06,6726.0,1909.0,,0.03349,7.98987,,10/02/2022,0.5,,Low,Satisfactory,01/09/2017,0.0764,10.1,22.2,
SOAD10076,Flumevale,Yes,Other,Earth,12.06,0.223,29900.0,1938.0,,0.04334,0.0,,21/10/1992,6.0,0.0,Low,Not Rated,,0.0668,24.2,544.7,
SOAD10957,Flumevale,Yes,Other,Earth,14.258,0.059,22400.0,1892.0,,0.01576,0.0,,14/09/2021,0.5,,Low,Satisfactory,01/09/2017,0.071,24.2,20.9,
SOAD17725,Flumevale,Yes,Water Supply,Concrete,15.437,0.037,0.0,1936.0,,0.01773,772.3541,Uncontrolled,26/09/2013,6.0,3.33,Low,Fair,28/10/2016,0.0492,31.9,851.4,55.5
SOAD01737,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.262,0.3,32482.0,1963.0,,0.01576,0.0,Uncontrolled,23/09/2013,6.0,0.0,Low,Fair,24/05/2016,0.0666,22.6,283.5,
SOAD05134,Flumevale,Yes,Water Supply,Earth,21.131,0.073,70870.0,1949.0,,0.00788,0.0,,24/08/2022,1.0,0.0,High,Satisfactory,01/09/2017,0.0912,37.0,166.1,49.0
SOAD10224,Flumevale,Yes,Water Supply,Earth,6.177,0.32,,,,0.01576,0.0,Uncontrolled,14/04/2022,2.0,0.0,Significant,Satisfactory,14/04/2022,0.1062,24.2,231.8,33.1
SOAD17088,Flumevale,Yes,Water Supply,Other,10.621,0.383,0.0,1962.0,,0.00788,,,09/06/2022,1.0,0.0,High,Satisfactory,01/09/2017,0.0895,32.4,614.5,42.4
SOAD18724,Flumevale,Yes,Water Supply,Earth,11.673,0.079,9500.0,1974.0,,0.01773,0.0,,21/04/2022,0.5,,Low,Satisfactory,01/09/2017,0.0751,35.5,21.8,7.8
SOAD01677,Flumevale,Yes,Water Supply,Earth,13.931,0.377,0.0,1958.0,,0.01773,,,24/04/2023,1.0,0.48,High,Fair,01/09/2017,0.1039,39.1,106.5,8.4
SOAD04534,Flumevale,Yes,Water Supply,Earth,10.394,0.07,210.0,1982.0,,0.01773,7.98987,,29/08/2016,6.0,6.65,Low,Fair,22/03/2017,0.0387,32.8,225.9,67.2
SOAD06267,Flumevale,Yes,Water Supply,Earth,15.703,0.076,13900.0,1989.0,,0.01576,2.66329,,08/06/2022,0.5,,Low,Satisfactory,01/09/2017,0.0774,35.8,10.4,18.9
SOAD06282,Flumevale,Yes,Water Supply,Earth,18.628,0.277,81500.0,1964.0,,0.01773,,,17/11/2021,1.0,0.0,High,Satisfactory,01/09/2017,0.0961,41.5,893.6,37.4
SOAD11458,Flumevale,Yes,Water Supply,Earth,19.035,0.067,29000.0,1967.0,,0.01576,0.0,,12/05/2022,1.0,0.84,High,Satisfactory,01/09/2017,0.076,13.7,834.5,38.0
SOAD12451,Flumevale,Yes,Water Supply,Other,13.775,0.341,5200.0,1953.0,,0.00788,,,27/01/2022,1.0,0.0,High,Satisfactory,01/09/2017,0.0963,5.9,141.7,32.2
SOAD01292,Flumevale,Yes,Water Supply,Gravity,18.631,0.062,7650.0,2001.0,,0.00788,7.98987,Uncontrolled,11/07/2022,6.0,4.99,Low,Not Rated,,0.086,10.8,481.5,47.0
SOAD03897,Flumevale,No,Flood Risk Reduction,Rockfill,4.291,0.175,,1962.0,,,,,15/09/2022,5.0,,Significant,Not Available,,0.1299,34.0,205.1,
SOAD04159,Flumevale,Yes,Recreation,Earth,19.17,0.135,36606.0,,,0.00788,0.0,,25/04/1988,6.0,4.78,Low,Fair,14/07/2015,0.0423,16.3,529.7,6.7
