ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD11302,Lyndrassia,Yes,Recreation,Earth,14.782,0.153,65500.0,1996.0,1994.0,0.04925,2.6632900000001882,Uncontrolled,2.7,5.754999999999997,High,Unsatisfactory,2011.3,0.1387,30.2,611.4,5.5
SOAD11500,Lyndrassia,Yes,Missing,Earth,15.276,0.1843,84884.00000000001,1977.0,1996.0,0.14381,8.256199000000379,Missing,2.3,6.58,High,Unsatisfactory,2013.5,0.1316,6.8,320.1,8.46
SOAD12360,Lyndrassia,Yes,Recreation,Earth,16.119,0.4,164330.0,1982.0,1996.0,0.04728,18.110371999999643,Uncontrolled,2.2,0.0,High,Unsatisfactory,2014.8,0.1421,30.9,948.3,6.5
SOAD12606,Lyndrassia,Yes,Irrigation,Earth,15.807,0.317,98773.4,2003.0,2000.0,0.44916,18.64303000000018,Uncontrolled,3.0,87.32,High,Not Rated,2015.7,0.1011,141.8,215.8,26.2
SOAD12607,Lyndrassia,Yes,Recreation,Earth,17.347,0.2061,86299.99999999999,1992.0,1993.0,0.06895,3.9949350000001687,Uncontrolled,2.6,1.9869999999999948,High,Unsatisfactory,2010.5,0.1338,7.6,732.8,4.3
SOAD12910,Navaldia,Yes,Missing,Missing,0.0,0.5587,4200.0,1947.0,2006.0,0.17907300000000026,14.381765999999743,Missing,2.0,6.863000000000001,Significant,Unsatisfactory,2019.8,0.1771,453.8,472.6,6.299999999999999
SOAD13361,Flumevale,No,Debris Control,Timber Crib,12.253,0.138,132198.5,1941.0,2012.0,22.804326000000003,21830.189143,Uncontrolled,2.9,34.526,Significant,Not Rated,2022.6,0.1454,461.4,341.7,52.879999999999995
SOAD13714,Lyndrassia,Yes,Recreation,Earth,14.26,0.167,57600.0,1988.0,1995.0,0.06304,2.9296190000000024,Uncontrolled,3.0,5.445999999999998,High,Unsatisfactory,2012.8,0.1413,39.5,576.5,3.6
SOAD14020,Lyndrassia,Yes,Recreation,Earth,13.282,0.145,77300.0,1978.0,1990.0,0.0394,7.989869999999883,Uncontrolled,2.7,21.46,High,Unsatisfactory,2009.8,0.1369,17.8,250.2,6.5
SOAD14215,Navaldia,Yes,Missing,Missing,0.0,0.20950000000000002,3090.1999999999825,1966.0,2010.0,0.1418400000000002,5.32658,Missing,2.0,10.255,Significant,Not Rated,2019.4,0.1373,68.1,175.4,10.430000000000001
SOAD14437,Navaldia,Yes,Missing,Earth,9.103,0.067,40586.100000000035,1964.0,2005.0,0.4044410000000003,5.32658,Missing,2.0,51.56,Significant,Fair,2020.6,0.1439,333.9,179.7,6.6899999999999995
SOAD14563,Flumevale,No,Other,Rockfill,3.858,0.03,14370.50000000003,1899.0,1994.0,20.838659999999997,4588.848669999999,Uncontrolled,2.4,36.474000000000004,Significant,Not Rated,2021.1,0.1324,223.3,368.4,48.95
SOAD14661,Lyndrassia,Yes,Recreation,Earth,14.285,0.19199999999999998,70240.0,1921.0,2003.0,0.08668,17.3113850000002,Missing,1.3,2.687999999999999,High,Unsatisfactory,2013.2,0.1388,10.0,755.7,3.7
SOAD14832,Lyndrassia,Yes,Recreation,Earth,13.691,0.225,84100.0,2002.0,1993.0,0.17336,1.5979740000002494,Uncontrolled,3.0,7.920999999999998,High,Unsatisfactory,2014.3,0.1534,26.0,495.2,5.2
SOAD15410,Navaldia,Yes,Other,Earth,0.0,0.12219999999999998,46133.79999999999,1953.0,2011.0,0.12450400000000039,10.65316,Missing,2.0,12.284,Significant,Poor,2018.4,0.1527,39.4,421.5,5.299999999999999
SOAD15761,Lyndrassia,No,Recreation,Earth,40.912,0.162,294000.0,1981.0,1989.0,10.575353999999999,2313.0673650000003,Uncontrolled,1.0,17.39,High,Satisfactory,2019.0,0.0874,910.7,208.7,4.1
SOAD16079,Lyndrassia,Yes,Recreation,Earth,13.32,0.197,147226.5,1973.0,1995.0,0.03349,6.125566999999819,Uncontrolled,2.2,0.9699999999999989,High,Unsatisfactory,2014.8,0.1325,15.9,952.6,7.6
SOAD16467,Lyndrassia,Yes,Recreation,Earth,13.752,0.15,164330.0,1981.0,1996.0,0.06304,6.125567000000274,Uncontrolled,3.0,2.3290000000000006,High,Unsatisfactory,2013.3,0.1381,33.2,932.1,8.7
SOAD16854,Lyndrassia,Yes,Recreation,Earth,13.08,0.292,45799.99999999997,1986.0,1990.0,0.05516,1.3316449999999804,Uncontrolled,2.7,13.52,High,Unsatisfactory,2008.6,0.1368,18.2,454.3,6.7
SOAD17206,Lyndrassia,Yes,Other,Earth,12.642,0.133,59890.0,2002.0,1997.0,0.08077,2.9296190000000024,Uncontrolled,3.0,0.6989999999999945,High,Not Rated,2009.9,0.0951,27.1,863.9,6.489999999999998
SOAD17553,Navaldia,Yes,Recreation,Earth,3.419,0.3254,15184.400000000023,1971.0,2010.0,0.160358,2.66329,Missing,2.0,61.012,Significant,Not Rated,2016.3,0.1362,271.6,123.8,5.6
SOAD17601,Lyndrassia,Yes,Recreation,Earth,14.216,0.175,64400.00000000003,2012.0,1991.0,0.03743,2.9296190000000024,Uncontrolled,2.6,1.54,High,Unsatisfactory,2008.1,0.1175,12.7,552.7,9.5
SOAD17642,Lyndrassia,Yes,Missing,Missing,14.396,0.40900000000000003,46888.80000000002,2018.0,2001.0,3.029072,2916.30255,Missing,3.0,9.43,High,Not Rated,2019.0,0.0792,939.5,181.0,34.75
SOAD18020,Lyndrassia,Yes,Missing,Earth,28.472,0.2705,0.0,1962.0,2004.0,0.543523,56.728076999999985,Missing,0.0,2.43,Significant,Satisfactory,2011.0,0.1325,375.1,318.3,16.03
SOAD18122,Flumevale,No,Other,Earth,13.878,0.073,186010.0,1949.0,1991.0,15.534041000000002,789.9318139999998,Uncontrolled,1.0,0.16,High,Not Rated,2020.3,0.102,925.1,619.9,41.4
SOAD18532,Navaldia,Yes,Recreation,Earth,0.0,1.3883999999999999,34037.100000000006,1951.0,2009.0,1.224158,6.658224999999902,Missing,2.0,50.247,Significant,Not Rated,2016.0,0.1365,429.3,42.4,3.0
SOAD19679,Lyndrassia,Yes,Recreation,Earth,14.637,0.225,120282.49999999997,1974.0,2008.0,0.11426,5.326579999999922,Uncontrolled,3.0,4.94,High,Not Rated,2012.2,0.111,30.4,927.7,4.9
SOAD00531,Flumevale,No,Hydroelectric,Concrete,5.452,2.467,33736.0,1988.0,1998.0,12.266205000000001,2476.593371,Missing,1.0,16.83,Significant,Satisfactory,2023.0,0.1362,441.6,446.0,78.2
SOAD08570,Flumevale,No,Missing,Concrete,3.451,0.47850000000000004,14013.800000000047,1964.0,1998.0,0.00788,2304.0121790000003,Missing,1.0,9.275,Significant,Satisfactory,2023.0,0.1192,8.6,196.4,24.84
SOAD09546,Flumevale,No,Hydroelectric,Missing,0.346,0.1311,2.9103830456733704e-11,1988.0,1969.0,0.04925000000000024,854.9160899999999,Missing,1.0,13.809999999999999,Significant,Not Available,2018.3,0.1111,112.7,257.4,14.89
SOAD14594,Navaldia,Yes,Recreation,Earth,2.825,0.067,14730.799999999988,1957.0,2010.0,0.06501,13.31645,Missing,2.0,13.623999999999999,Significant,Poor,2017.5,0.1398,6.7,235.1,5.2
SOAD15319,Flumevale,No,Hydroelectric,Rockfill,12.066,0.08710000000000007,130595.59999999998,1965.0,1996.0,1.0797570000000003,35962.40487,Uncontrolled,1.0,75.25,Significant,Satisfactory,2023.0,0.1101,171.3,216.0,55.9
SOAD16049,Navaldia,Yes,Debris Control,Gravity,4.704,0.027,131507.09999999998,1966.0,2008.0,15.122901999999998,2.66329,Missing,1.0,4.495000000000001,High,Fair,2020.0,0.1113,662.4,805.4,5.370000000000001
SOAD19425,Flumevale,No,Flood Risk Reduction,Earth,27.419,0.347,220000.0,1971.0,1993.0,0.00788,264.7310259999997,Missing,1.0,6.32,High,Satisfactory,2023.0,0.1104,16.4,201.5,32.239999999999995
SOAD02827,Navaldia,Yes,Recreation,Earth,3.001,0.163,5550.0,1955.0,1998.0,0.00591,0.0,Uncontrolled,4.6,3.039999999999999,High,Fair,2023.0,0.0916,40.3,690.1,4.6
SOAD04177,Navaldia,Yes,Flood Risk Reduction,Earth,7.397,0.025,63481.80000000002,1999.0,2005.0,0.030337999999999532,2.66329,Missing,2.0,21.518,Significant,Satisfactory,2014.5,0.121,185.5,218.2,10.98
SOAD08152,Navaldia,Yes,Missing,Missing,3.452,0.047,108524.60000000002,1987.0,1998.0,0.09712100000000001,184.29966799999988,Uncontrolled,5.0,3.7390000000000008,High,Fair,2021.0,0.0753,611.0,934.6,7.76
SOAD10896,Navaldia,Yes,Recreation,Earth,3.556,0.06,19119.100000000006,1973.0,2010.0,0.00394,2.66329,Missing,2.0,16.286,Significant,Satisfactory,2016.6,0.1378,28.1,103.3,4.6
SOAD12764,Lyndrassia,Yes,Flood Risk Reduction,Earth,13.925,0.1,30000.0,1989.0,1989.0,0.00788,0.0,Uncontrolled,2.0,7.74,High,Satisfactory,2007.0,0.0905,10.8,129.6,4.859999999999999
SOAD17150,Navaldia,Yes,Flood Risk Reduction,Earth,6.819,0.067,68188.30000000002,1948.0,2002.0,0.0,0.0,Uncontrolled,5.0,0.16,High,Fair,2021.0,0.0985,39.2,851.5,24.17
SOAD17354,Navaldia,Yes,Missing,Earth,10.606,0.053,94401.20000000001,2008.0,2004.0,0.02364,0.0,Uncontrolled,5.0,1.67,Significant,Fair,2022.0,0.1097,8.0,865.3,23.71
SOAD02782,Navaldia,Yes,Flood Risk Reduction,Earth,4.227,0.083,39977.5,1991.0,2013.0,0.00591,2.66329,Missing,2.0,22.881,Significant,Fair,2020.2,0.1357,47.1,418.9,11.98
SOAD14624,Navaldia,Yes,Flood Risk Reduction,Earth,3.41,0.063,126114.60000000002,1985.0,2001.0,0.1893169999999995,2.66329,Missing,2.0,21.942,Significant,Fair,2020.8,0.1433,373.8,255.4,15.09
SOAD15975,Navaldia,No,Missing,Earth,5.836,0.027,14508.429999999993,1965.0,1993.0,0.00394,0.0,Uncontrolled,3.5999999999999996,9.918000000000001,Significant,Not Rated,2014.0,0.1649,13.3,322.8,13.580000000000002
SOAD00979,Lyndrassia,Yes,Recreation,Earth,14.781,0.108,25445.20000000001,1996.0,2009.0,1.1032,1352.684991,Missing,0.8,1.69,High,Missing,2020.5,0.1556,479.6,579.1,6.2
SOAD03833,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.977,0.115,2773.0,1983.0,1996.0,0.00788,0.0,Uncontrolled,2.0,11.26,Significant,Satisfactory,2020.0,0.1354,39.8,121.9,35.25
SOAD09276,Lyndrassia,Yes,Other,Earth,22.852,0.1,43000.0,1993.0,1997.0,0.00788,0.0,Uncontrolled,2.0,17.287,Significant,Satisfactory,2007.0,0.114,35.1,293.8,7.24
SOAD13160,Navaldia,Yes,Missing,Earth,2.784,0.133,95214.80000000003,1949.0,2006.0,0.01379,0.0,Uncontrolled,2.0,1.61,High,Poor,2022.0,0.1141,36.1,107.1,13.559999999999999
SOAD14182,Flumevale,No,Tailings,Earth,8.658,0.267,1277.1999999999825,1952.0,1992.0,18.200633,24206.642810000005,Missing,0.30000000000000004,4.75,High,Not Available,2019.3,0.1235,844.9,374.4,26.38
SOAD14607,Navaldia,No,Missing,Earth,5.355,0.123,27730.129999999976,1965.0,1989.0,0.00788,0.0,Uncontrolled,3.9,10.607000000000001,Significant,Not Rated,2014.0,0.1451,7.9,446.3,15.559999999999999
SOAD15607,Navaldia,Yes,Flood Risk Reduction,Earth,6.12,0.04,69318.1,1992.0,2010.0,0.019502999999999826,2.66329,Missing,2.0,20.799,Significant,Satisfactory,2013.3,0.1106,186.3,161.6,10.92
SOAD18799,Navaldia,Yes,Flood Risk Reduction,Earth,3.336,0.123,54131.70000000001,1993.0,2009.0,0.6794529999999999,2.66329,Missing,1.0,3.3820000000000014,High,Satisfactory,2017.9,0.1017,532.3,925.3,6.389999999999999
SOAD01460,Navaldia,Yes,Missing,Earth,9.399,0.133,89473.8,1948.0,2006.0,0.0,2.66329,Uncontrolled,2.0,5.013999999999998,High,Poor,2021.0,0.13,41.8,596.3,5.8100000000000005
SOAD02312,Flumevale,No,Other,Earth,10.679,0.08,2.9103830456733704e-11,1975.0,1983.0,0.05811499999999992,2478.9903320000003,Missing,0.5999999999999999,1.67,Significant,Not Available,2018.7,0.1661,306.3,365.5,19.31
SOAD07202,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.746,0.11,18659.899999999994,1990.0,1991.0,0.00788,0.0,Uncontrolled,5.0,9.951999999999998,Significant,Not Rated,2014.0,0.0923,19.0,308.6,23.17
SOAD10724,Navaldia,Yes,Missing,Missing,4.217,0.143,44471.0,2021.0,2007.0,0.00788,2.9296190000000024,Uncontrolled,5.0,8.794,Significant,Fair,2021.0,0.1184,7.5,369.0,12.91
SOAD14722,Navaldia,Yes,Flood Risk Reduction,Earth,3.556,0.053,70754.0,1998.0,2006.0,1.612051,7.98987,Missing,1.0,4.608000000000002,High,Satisfactory,2015.2,0.1039,625.3,716.1,6.209999999999997
SOAD20423,Navaldia,Yes,Flood Risk Reduction,Earth,3.25,0.117,123154.8,1994.0,2007.0,2.654378,2.66329,Missing,1.0,3.985000000000001,High,Fair,2021.2,0.096,632.1,897.7,6.259999999999998
SOAD00063,Navaldia,No,Recreation,Earth,3.509,0.0,7899.200000000012,1982.0,2000.0,0.0,0.0,Missing,2.3,13.280000000000001,Significant,Not Rated,2014.0,0.1722,36.1,42.1,5.5
SOAD01247,Flumevale,No,Water Supply,Earth,7.299,0.253,10.0,1971.0,1985.0,0.1174120000000003,1274.117936,Missing,1.0999999999999999,1.67,Significant,Not Available,2015.4,0.1451,312.7,887.2,47.5
SOAD04234,Navaldia,Yes,Flood Risk Reduction,Earth,4.295,0.1,74508.59999999998,1948.0,2002.0,0.0,0.0,Uncontrolled,5.0,0.0,High,Fair,2021.0,0.0574,42.9,263.9,20.009999999999998
SOAD05848,Navaldia,Yes,Recreation,Earth,4.178,0.067,46388.0,1973.0,2012.0,0.00591,2.66329,Missing,2.0,14.517,Significant,Poor,2017.3,0.1479,25.0,424.5,6.3
SOAD07932,Lyndrassia,Yes,Other,Earth,14.982,0.07,0.0,1988.0,1988.0,0.00394,0.0,Uncontrolled,2.0,9.2,High,Satisfactory,2008.0,0.1094,9.9,248.4,5.459999999999999
SOAD12960,Navaldia,Yes,Water Supply,Earth,6.807,0.067,29585.00000000003,1915.0,2007.0,0.00788,10.65316,Missing,1.0,1.701000000000004,High,Poor,2017.6,0.1269,35.4,874.2,17.0
SOAD13126,Navaldia,Yes,Missing,Missing,5.159,0.117,288782.6000000001,1992.0,1999.0,0.01773,0.0,Uncontrolled,5.0,3.658999999999999,High,Fair,2021.0,0.0779,37.4,797.4,10.490000000000002
SOAD20522,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,15.395,0.073,0.0,1989.0,1998.0,0.00197,0.0,Uncontrolled,5.0,9.51,Significant,Not Rated,2007.0,0.1375,28.9,162.5,14.450000000000001
SOAD20772,Navaldia,Yes,Flood Risk Reduction,Missing,8.209,0.083,65050.59999999998,1934.0,2006.0,0.0,0.0,Uncontrolled,5.0,3.851000000000001,High,Fair,2020.0,0.074,37.9,914.9,22.96
SOAD01504,Navaldia,Yes,Missing,Missing,3.262,0.173,285775.30000000005,1992.0,1998.0,0.01576,1.5979739999997946,Uncontrolled,5.0,3.658999999999999,High,Fair,2019.0,0.087,26.0,594.1,12.229999999999999
SOAD05174,Navaldia,Yes,Flood Risk Reduction,Earth,8.942,0.09,91225.8,1972.0,2000.0,0.0,0.0,Uncontrolled,5.0,0.16,High,Fair,2021.0,0.0881,27.2,305.0,27.78
SOAD06379,Navaldia,No,Missing,Earth,7.121,0.024,25291.49999999997,1973.0,1993.0,0.00591,0.0,Uncontrolled,4.699999999999999,9.304000000000002,Significant,Not Rated,2014.0,0.111,23.1,392.8,9.35
SOAD09118,Navaldia,Yes,Recreation,Earth,7.888,0.1,48698.36300000001,1970.0,2002.0,0.02955,23.96961,Uncontrolled,2.0,18.768,Significant,Satisfactory,2017.1,0.1212,5.9,71.8,8.3
SOAD10640,Navaldia,Yes,Flood Risk Reduction,Earth,3.884,0.058,4140.0,2009.0,2006.0,0.00788,0.0,Uncontrolled,5.0,21.584999999999997,Significant,Fair,2022.0,0.1218,9.4,124.5,16.509999999999998
SOAD11247,Navaldia,Yes,Recreation,Earth,3.242,0.04,7795.3000000000175,1936.0,2006.0,0.02167,2.66329,Missing,2.0,50.748,Significant,Fair,2019.7,0.1364,6.1,252.1,6.0
SOAD11707,Navaldia,No,Missing,Earth,5.459,0.039,23896.43000000005,1957.0,1988.0,0.00788,0.0,Uncontrolled,3.9,9.748,Significant,Not Rated,2014.0,0.1546,32.1,400.2,21.25
SOAD11867,Flumevale,Yes,Water Supply,Earth,4.43,0.083,14101.5,1999.0,2000.0,0.00788,0.0,Uncontrolled,2.0,11.38,Significant,Fair,2013.0,0.1314,18.3,151.7,15.0
SOAD11892,Flumevale,No,Water Supply,Missing,5.94,0.032,5338.400000000023,1961.0,1983.0,4.559761999999999,32676.703997,Missing,3.2,1.63,High,Not Available,2018.5,0.0765,719.6,565.6,15.9
SOAD15152,Flumevale,Yes,Flood Risk Reduction,Earth,11.071,0.095,21140.0,2005.0,2004.0,0.00788,0.0,Uncontrolled,1.0,3.208999999999996,High,Fair,2020.0,0.1114,43.7,816.2,27.1
SOAD15867,Navaldia,Yes,Recreation,Earth,5.156,0.183,80689.29999999999,1982.0,2002.0,0.03349,2.66329,Missing,1.0,1.8829999999999991,High,Fair,2020.6,0.1167,15.5,887.5,8.2
SOAD02714,Flumevale,No,Water Supply,Earth,13.753,0.033,257972.0,1935.0,1992.0,13.901502000000004,6468.332423000001,Missing,0.5,7.67,High,Not Available,2019.8,0.1083,672.7,452.4,51.7
SOAD03129,Lyndrassia,Yes,Missing,Earth,16.055,0.053,57340.00000000003,1999.0,1999.0,0.00394,0.0,Missing,2.3,13.198999999999998,Significant,Satisfactory,2007.0,0.1143,37.2,379.4,7.010000000000002
SOAD04965,Navaldia,No,Missing,Missing,4.496,0.07,3087.500000000029,1996.0,1990.0,0.035263000000000044,88.15489899999989,Uncontrolled,3.2,13.908,Significant,Fair,2023.0,0.1312,127.5,319.7,14.329999999999998
SOAD05372,Flumevale,Yes,Irrigation,Earth,5.634,0.08,3550.0,1960.0,2003.0,0.00788,7.98987,Uncontrolled,2.0,16.56,Significant,Fair,2021.0,0.1503,8.1,260.9,24.6
SOAD05893,Navaldia,Yes,Other,Earth,7.354,0.048,20849.899999999994,1944.0,2012.0,0.00788,7.98987,Missing,2.0,32.281,Significant,Not Rated,2017.5,0.167,17.2,74.7,21.52
SOAD11286,Flumevale,Yes,Recreation,Earth,3.498,0.133,11708.800000000017,1966.0,2000.0,0.00788,7.98987,Uncontrolled,2.0,1.59,Significant,Fair,2022.0,0.1333,11.7,704.8,4.9
SOAD12488,Navaldia,No,Other,Earth,4.199,0.043,21764.430000000022,1952.0,1984.0,0.00788,0.0,Uncontrolled,3.9,9.975,Significant,Not Rated,2014.0,0.1619,44.7,473.7,6.099999999999998
SOAD18907,Navaldia,Yes,Flood Risk Reduction,Earth,4.068,0.125,98390.8,1986.0,2008.0,2.9016129999999998,2.66329,Missing,1.0,5.415000000000001,High,Satisfactory,2017.4,0.085,862.4,828.4,6.0
SOAD00892,Navaldia,Yes,Flood Risk Reduction,Earth,4.974,0.147,97502.00000000001,1993.0,2006.0,0.22438300000000044,2.66329,Missing,2.0,28.495,Significant,Not Rated,2014.8,0.1355,310.9,31.4,20.87
SOAD11305,Navaldia,Yes,Recreation,Earth,5.32,0.067,42350.0,1936.0,2008.0,0.00591,7.98987,Missing,1.0,2.689,High,Satisfactory,2011.2,0.0907,42.2,713.7,5.9
SOAD14530,Navaldia,Yes,Flood Risk Reduction,Earth,3.487,0.16,105201.1,1979.0,2000.0,0.10756200000000016,2.66329,Missing,2.0,21.233,Significant,Fair,2020.7,0.1276,388.0,302.4,18.419999999999998
SOAD15004,Navaldia,Yes,Recreation,Earth,6.437,0.05,32999.0,1952.0,2010.0,0.00985,2.66329,Missing,1.0,3.3810000000000002,High,Fair,2021.1,0.1056,12.8,805.9,7.1
SOAD15153,Navaldia,Yes,Recreation,Earth,6.847,0.067,28953.899999999965,1937.0,2010.0,0.01182,2.66329,Missing,2.0,20.008,Significant,Satisfactory,2014.2,0.1042,43.1,350.0,8.7
SOAD15297,Navaldia,Yes,Recreation,Earth,3.795,0.037,5343.299999999988,1944.0,2010.0,0.01576,2.66329,Missing,2.0,53.19,Significant,Fair,2019.1,0.1444,27.9,276.7,6.6
SOAD16517,Lyndrassia,No,Missing,Earth,10.489,0.027,0.0,1975.0,1992.0,0.00591,21.30632,Missing,0.0,0.0,Significant,Not Rated,2014.4,0.1392,39.4,287.2,19.99
